sp_id,class,order,family,genus,species,species,iucn_status,sp_code1,sp_code,fo
1002,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,DD,Maza_amer,Maza_amer,0.22917
1003,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,Mazama gouazoubira,LC,Maza_goua,Maza_goua,0.25694
1004,Mammalia,Artiodactyla,Cervidae,Mazama,nana,Mazama nana,VU,Maza_nana,Maza_nana,0.14583
1006,Mammalia,Artiodactyla,Suidae,Sus,scrofa,Sus scrofa,IN,Sus_scro,Sus_scro,0.16667
1007,Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,Pecari tajacu,LC,Peca_taja,Peca_taja,0.38194
1008,Mammalia,Artiodactyla,Tayassuidae,Tayassu,pecari,Tayassu pecari,VU,Taya_peca,Taya_peca,0.11806
1009,Mammalia,Carnivora,Canidae,Canis,familiaris,Canis familiaris,IN,Cani_fami,Cani_fami,0.5625
1010,Mammalia,Carnivora,Canidae,Cerdocyon,thous,Cerdocyon thous,LC,Cerd_thou,Cerd_thou,0.57639
1011,Mammalia,Carnivora,Canidae,Chrysocyon,brachyurus,Chrysocyon brachyurus,NT,Chry_brac,Chry_brac,0.05556
1012,Mammalia,Carnivora,Canidae,Lycalopex,gymnocercus,Lycalopex gymnocercus,LC,Lyca_gymn,Lyca_gymn,0.03472
1013,Mammalia,Carnivora,Canidae,Speothos,venaticus,Speothos venaticus,NT,Speo_vena,Speo_vena,0.02778
1014,Mammalia,Carnivora,Felidae,Felis,catus,Felis catus,IN,Feli_catu,Feli_catu,0.09722
1015,Mammalia,Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,LC,Leop_pard,Leop_pard,0.48611
1016,Mammalia,Carnivora,Felidae,Leopardus,guttulus,Leopardus guttulus,VU,Leop_gutt,Leop_gutt,0.5
1017,Mammalia,Carnivora,Felidae,Leopardus,wiedii,Leopardus wiedii,NT,Leop_wied,Leop_wied,0.34028
1019,Mammalia,Carnivora,Felidae,Panthera,onca,Panthera onca,NT,Pant_onca,Pant_onca,0.09028
1020,Mammalia,Carnivora,Felidae,Puma,concolor,Puma concolor,LC,Puma_conc,Puma_conc,0.41667
1021,Mammalia,Carnivora,Felidae,Puma,yagouaroundi,Puma yagouaroundi,LC,Puma_yago,Puma_yago,0.33333
1022,Mammalia,Carnivora,Mephitidae,Conepatus,chinga,Conepatus chinga,LC,Cone_chin,Cone_chin,0.01389
1023,Mammalia,Carnivora,Mephitidae,Conepatus,semistriatus,Conepatus semistriatus,LC,Cone_semi,Cone_semi,0.03472
1024,Mammalia,Carnivora,Mustelidae,Eira,barbara,Eira barbara,LC,Eira_barb,Eira_barb,0.56944
1025,Mammalia,Carnivora,Mustelidae,Galictis,cuja,Galictis cuja,LC,Gali_cuja,Gali_cuja,0.18056
1026,Mammalia,Carnivora,Mustelidae,Lontra,longicaudis,Lontra longicaudis,NT,Lont_long,Lont_long,0.06944
1027,Mammalia,Carnivora,Procyonidae,Nasua,nasua,Nasua nasua,LC,Nasu_nasu,Nasu_nasu,0.69444
1028,Mammalia,Carnivora,Procyonidae,Potos,flavus,Potos flavus,LC,Poto_flav,Potu_flav,0.02083
1029,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Procyon cancrivorus,LC,Proc_canc,Proc_canc,0.54167
1031,Mammalia,Cingulata,Dasypodidae,Cabassous,tatouay,Cabassous tatouay,LC,Caba_tato,Caba_tato,0.24306
1032,Mammalia,Cingulata,Dasypodidae,Cabassous,unicinctus,Cabassous unicinctus,LC,Caba_unic,Caba_unic,0.00694
1034,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Dasypus novemcinctus,LC,Dasy_nove,Dasy_nove,0.79167
1035,Mammalia,Cingulata,Dasypodidae,Dasypus,septemcinctus,Dasypus septemcinctus,LC,Dasy_sept,Dasy_sept,0.02083
1037,Mammalia,Cingulata,Dasypodidae,Euphractus,sexcinctus,Euphractus sexcinctus,LC,Euph_sexc,Euph_sexc,0.14583
1038,Mammalia,Cingulata,Dasypodidae,Priodontes,maximus,Priodontes maximus,VU,Prio_maxi,Prio_maxi,0.00694
1039,Mammalia,Didelphimorphia,Didelphidae,Didelphis,albiventris,Didelphis albiventris,LC,Dide_albi,Dide_albi,0.34722
1040,Mammalia,Didelphimorphia,Didelphidae,Didelphis,aurita,Didelphis aurita,LC,Dide_auri,Dide_auri,0.4375
1051,Mammalia,Lagomorpha,Leporidae,Lepus,europaeus,Lepus europaeus,IN,Lepu_euro,Lepu_euro,0.09028
1052,Mammalia,Lagomorpha,Leporidae,Sylvilagus,brasiliensis,Sylvilagus brasiliensis,LC,Sylv_bras,Sylv_bras,0.32639
1053,Mammalia,Perissodactyla,Tapiridae,Tapirus,terrestris,Tapirus terrestris,VU,Tapi_terr,Tapi_terr,0.25
1055,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,Myrmecophaga tridactyla,VU,Myrm_trid,Myrm_trid,0.09722
1056,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,Tamandua tetradactyla,LC,Tama_tetr,Tama_tetr,0.4375
1068,Mammalia,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Hydrochoerus hydrochaeris,LC,Hydr_hydr,Hydr_hydr,0.34722
1072,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,LC,Cuni_paca,Cuni_paca,0.5
1073,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,azarae,Dasyprocta azarae,DD,Dasy_azar,Dasy_azar,0.41667
1074,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,leporina,Dasyprocta leporina,LC,Dasy_lepo,Dasy_lepo,0.05556
1078,Mammalia,Rodentia,Erethizontidae,Chaetomys,subspinosus,Chaetomys subspinosus,VU,Chae_subs,Chae_subs,0.01389
1079,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,Coendou prehensilis,LC,Coen_preh,Coen_preh,0.01389
1080,Mammalia,Rodentia,Erethizontidae,Sphiggurus,insidiosus,Sphiggurus insidiosus,LC,Sphi_insi,Sphi_insi,0.02083
1081,Mammalia,Rodentia,Erethizontidae,Sphiggurus,villosus,Sphiggurus villosus,LC,Sphi_vill,Sphi_vill,0.02083
